STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,WESF
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130101,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130102,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130103,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130104,0.27,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130105,0.00,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130106,0.07,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130107,0.07,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130108,0.04,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130109,0.84,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130110,0.24,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130111,0.04,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130112,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130113,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130114,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130115,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130116,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130117,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130118,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130119,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130120,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130121,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130122,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130123,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130124,0.31,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130125,0.19,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130126,0.18,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130127,0.09,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130128,0.04,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130129,0.33,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130130,0.45,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130131,0.16,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130201,0.05,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130202,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130203,0.00,-9999,0.0,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130204,0.07,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130205,0.05,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130206,0.05,-9999,-9999,-9999
GHCND:US1WAKG0188,SEATTLE 3.3 N WA US,20130207,0.21,-9999,-9999,-9999
